LONG / CV,E,P,GN,BIO,A,HOU
2034,0,0,0,0,167412,0
2035,0,0,0,0,167289,0
CN / CV,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
BF,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,219239
2016,0,0,0,0,0,219239
2017,0,0,0,0,0,219239
2018,0,0,0,0,0,208750
2019,0,0,0,0,0,215375
2020,0,0,0,0,0,222062
2021,0,0,0,0,0,228809
2022,0,0,0,0,0,230488
2023,0,0,0,0,0,236256
2024,0,0,0,0,0,242478
2025,0,0,0,0,0,248764
2026,0,0,0,0,0,255116
2027,0,0,0,0,0,261534
2028,0,0,0,0,0,268018
2029,0,0,0,0,0,274570
2030,0,0,0,0,0,281190
2031,0,0,0,0,0,285017
2032,0,0,0,0,0,285017
2033,0,0,0,0,0,285017
2034,0,0,0,0,0,285017
2035,0,0,0,0,0,285017
BM,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,213729
2016,0,0,0,0,0,213729
2017,0,0,0,0,0,254717
2018,0,0,0,0,0,277843
2019,0,0,0,0,0,277843
2020,0,0,0,0,0,277843
2021,0,0,0,0,0,277843
2022,0,0,0,0,0,277843
2023,0,0,0,0,0,277843
2024,0,0,0,0,0,277843
2025,0,0,0,0,0,277843
2026,0,0,0,0,0,277843
2027,0,0,0,0,0,277843
2028,0,0,0,0,0,277843
2029,0,0,0,0,0,277843
2030,0,0,0,0,0,277843
2031,0,0,0,0,0,277843
2032,0,0,0,0,0,277843
2033,0,0,0,0,0,277843
2034,0,0,0,0,0,277843
2035,0,0,0,0,0,277843
BD,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,36.8998
2016,0,0,0,0,0,49863
2017,0,0,0,0,0,31004.5
2018,0,0,0,0,0,24931.5
2019,0,0,0,0,0,24931.5
2020,0,0,0,0,0,24931.5
2021,0,0,0,0,0,24931.5
2022,0,0,0,0,0,29920.9
2023,0,0,0,0,0,30321.1
2024,0,0,0,0,0,30321.1
2025,0,0,0,0,0,30321.1
2026,0,0,0,0,0,30321.1
2027,0,0,0,0,0,30321.1
2028,0,0,0,0,0,30321.1
2029,0,0,0,0,0,30321.1
2030,0,0,0,0,0,30321.1
2031,0,0,0,0,0,33183.3
2032,0,0,0,0,0,39942.3
2033,0,0,0,0,0,46770.3
2034,0,0,0,0,0,53670.3
2035,0,0,0,0,0,60642.3
IND,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,5606.16
2016,0,0,0,0,0,1974.35
2017,0,0,0,0,0,1974.35
2018,0,0,0,0,0,1974.35
2019,0,0,0,0,0,1974.35
2020,0,0,0,0,0,1974.35
2021,0,0,0,0,0,1974.35
2022,0,0,0,0,0,1974.35
