LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2026,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.29673e+06,3.50854e+07,1.20562e+07,1.04037e+07,429173
2027,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.254e+06,3.49207e+07,1.19827e+07,1.03599e+07,428068
2028,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.21091e+06,3.47532e+07,1.19084e+07,1.03152e+07,426917
2029,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.16747e+06,3.45828e+07,1.18334e+07,1.02696e+07,425719
2030,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.12367e+06,3.44094e+07,1.17575e+07,1.02231e+07,424472
2031,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.07942e+06,3.42566e+07,1.16948e+07,1.01608e+07,423981
2032,0,236.099,91.5314,16.4343,29.6115,976.634,0,6.03468e+06,3.41318e+07,1.16496e+07,1.00781e+07,424503
2033,0,236.099,91.5314,16.4343,29.6115,976.634,0,5.98956e+06,3.40031e+07,1.16031e+07,9.99484e+06,424947
2034,0,236.099,91.5314,16.4343,29.6115,976.634,0,5.94405e+06,3.38704e+07,1.15553e+07,9.91106e+06,425313
2035,0,236.099,91.5314,16.4343,29.6115,976.634,0,5.89815e+06,3.37336e+07,1.15062e+07,9.82674e+06,425600
CS,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,160.47,46.13,0,34,1231.24,6.89102,9.20259e+06,4.16524e+07,1.57356e+07,1.32211e+07,427572
2016,0,160.47,56.3328,4.51559,23.7972,1226.72,0,6.27746e+06,3.1915e+07,1.09361e+07,1.01286e+07,369740
2017,0,164.85,59.9707,11.2163,23.7972,1212.01,0,5.2311e+06,2.87395e+07,9.38056e+06,9.01333e+06,338207
2018,0,179.568,59.9707,11.2163,23.7972,1197.29,0,5.17592e+06,2.83696e+07,9.188e+06,9.04777e+06,329472
2019,0,194.287,59.9707,11.2163,23.7972,1182.57,0,5.12145e+06,2.80971e+07,9.05251e+06,9.03378e+06,324468
2020,0,208.615,59.9707,11.2163,23.7972,1168.24,0,5.06823e+06,2.79067e+07,8.96495e+06,8.98054e+06,322549
2021,0,208.615,59.9707,11.2163,23.7972,1168.24,0,5.03772e+06,2.779e+07,8.91458e+06,8.9475e+06,321530
2022,0,208.615,59.9707,11.2163,23.7972,1168.24,0,5.00693e+06,2.76711e+07,8.86368e+06,8.91371e+06,320481
2023,0,208.615,59.9707,11.2163,23.7972,1168.24,0,4.97586e+06,2.75501e+07,8.81224e+06,8.87917e+06,319404
2024,0,208.615,59.9707,11.2163,23.7972,1168.24,0,4.94451e+06,2.74268e+07,8.76025e+06,8.84386e+06,318297
2025,0,208.615,59.9707,13.5658,23.7972,1165.89,0,4.90958e+06,2.73394e+07,8.73075e+06,8.78006e+06,318916
2026,0,208.615,59.9707,16.4982,23.7972,1162.96,0,4.87362e+06,2.72582e+07,8.70583e+06,8.7093e+06,319897
2027,0,208.615,59.9707,19.4574,23.7972,1160,0,4.83741e+06,2.7174e+07,8.67994e+06,8.63817e+06,320817
2028,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.8043e+06,2.70964e+07,8.6577e+06,8.57051e+06,321753
2029,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.77188e+06,2.70184e+07,8.63576e+06,8.50354e+06,322648
2030,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.73913e+06,2.69371e+07,8.61271e+06,8.43613e+06,323478
2031,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.70605e+06,2.68524e+07,8.58857e+06,8.36827e+06,324242
2032,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.67264e+06,2.67644e+07,8.56329e+06,8.29996e+06,324940
2033,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.6389e+06,2.66729e+07,8.53687e+06,8.23117e+06,325569
2034,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.60481e+06,2.65779e+07,8.50928e+06,8.16191e+06,326130
2035,0,208.615,59.9707,20.1379,23.7972,1159.32,0,4.69545e+06,2.6835e+07,8.65257e+06,8.23484e+06,329465
MTL,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,2.66,89.54,148.61,85.77,120.99,53.07,10.3273,1.60558e+07,1.07269e+08,3.99174e+07,2.29465e+07,1.69474e+06
2016,2.66,89.54,152.621,86.765,115.984,53.07,0,1.1472e+07,8.97657e+07,3.08968e+07,1.80645e+07,1.53364e+06
2017,0,89.54,157.628,86.765,113.637,53.07,0,1.11222e+07,8.63203e+07,2.8825e+07,1.78199e+07,1.39448e+06
2018,0,89.54,162.634,86.765,108.631,53.07,0,1.0751e+07,8.44619e+07,2.78974e+07,1.73584e+07,1.35936e+06
2019,0,89.54,167.641,86.765,103.624,53.07,0,1.04615e+07,8.31219e+07,2.73386e+07,1.69383e+07,1.34555e+06
2020,0,89.54,172.647,86.765,98.618,53.07,0,1.01759e+07,8.17939e+07,2.67859e+07,1.6524e+07,1.33176e+06
2021,0,89.54,177.653,86.765,93.6116,53.07,0,9.8944e+06,8.04778e+07,2.62393e+07,1.61153e+07,1.318e+06
2022,0,89.54,182.66,86.765,88.6052,53.07,0,9.61685e+06,7.91736e+07,2.5699e+07,1.57124e+07,1.30426e+06
2023,0,89.54,187.666,86.765,84.6931,51.9757,0,9.37665e+06,7.80008e+07,2.52245e+07,1.5351e+07,1.29115e+06
2024,0,89.54,192.673,86.765,84.6931,46.9693,0,9.27058e+06,7.72632e+07,2.49217e+07,1.52148e+07,1.27677e+06
2025,0,89.54,193.198,91.2463,84.6931,41.9629,0,9.19368e+06,7.67244e+07,2.47231e+07,1.50915e+07,1.26738e+06
2026,0,89.3451,193.198,96.2527,84.6931,37.1514,0,9.11932e+06,7.62063e+07,2.45402e+07,1.49632e+07,1.25884e+06
2027,0,84.3387,193.198,101.259,84.6931,37.1514,0,9.04942e+06,7.5744e+07,2.44169e+07,1.48043e+07,1.25409e+06
2028,0,79.3323,193.198,106.266,84.6931,37.1514,0,8.97898e+06,7.52748e+07,2.42909e+07,1.46455e+07,1.24917e+06
2029,0,76.5994,193.198,108.998,84.6931,37.1514,0,8.91069e+06,7.47994e+07,2.41527e+07,1.45064e+07,1.24336e+06
2030,0,74.0962,193.198,111.502,84.6931,37.1514,120008,8.4269e+06,7.00656e+07,2.25982e+07,1.37942e+07,1.15367e+06
2031,0,74.0962,193.198,111.502,84.6931,37.1514,105444,8.41521e+06,7.01368e+07,2.263e+07,1.3753e+07,1.15771e+06
2032,0,74.0962,193.198,111.502,84.6931,37.1514,90325.3,8.40351e+06,7.0208e+07,2.26617e+07,1.37117e+07,1.16176e+06
2033,0,74.0962,193.198,111.502,84.6931,37.1514,74625.6,8.39182e+06,7.02793e+07,2.26934e+07,1.36705e+07,1.16581e+06
2034,0,74.0962,193.198,111.502,84.6931,37.1514,58323.6,8.38013e+06,7.03505e+07,2.27251e+07,1.36292e+07,1.16986e+06
2035,0,74.0962,193.198,111.502,84.6931,37.1514,41393.2,8.36844e+06,7.04217e+07,2.27569e+07,1.3588e+07,1.17391e+06
